year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2010	3										0.2620407483307053	0.057884706645003815				-0.24235822673266288	0.3105208578248803		-1.650718737122295e-07	0.015449861825968789																					0.09646603653007495																							-2.0469518337380974e-07				-0.500000441871647										1.0055157372952461e-08		-2.76783819522702e-07			2.804773543830491e-08	-1.2263181842224265e-07	-3.08229254510437e-07		-5.496878630931847e-07								-8.059119745856869e-07													0.49999990116306					-3.1193254507726516e-07	-1.1989964497248304e-07	-1.8574708030966823e-07																																																																																									
2010	6											-2.560298764456987e-06					-5.011375247383513e-06			-2.78498367560678e-07	0.010528887534169067						-0.044308289929423574			0.02285819456457211		0.07886562025841683									-8.866324122003169e-07									-0.09752668816328215														-0.03242438516768879				-0.119322995364475									0.01458320133080306			0.008832663562624379				-0.023776117485770503					0.04066363270853588																	0.35656911215647463		0.03582947827047548						-0.023028488184571986		0.18170084853471175	0.08996647668764111																																																																																							
2010	9											0.11936208518826917					0.33742619731256507			0.05100083872622069												1.318587972043317e-05									0.19157756782214364																							0.5000171067627951													-9.067115083749518e-06	0.1541470202725899		3.4734652034633036e-05				-6.362650651650355e-06											-2.760334553789876e-06	-0.5000006176387264					-0.5000738257570232						-0.00012447051640355496	0.273258650185653				0.12569979883758498		-1.4774230807352534e-05	-5.728114294897919e-05	-0.2523713051012837		2.8957940898184527e-05																																																																																						
2010	12										0.2512385576860497	0.1054958264290104				-0.10292638064243376	0.2444478972959615			0.050466459641401784																					0.2240297426261395																	0.5000417548613348						0.4382592523908893				-0.40753655371041086										0.18106862806695112		-1.8019509081234848e-06			1.5512652673844474e-05										-0.03088433301352536		4.5425799194255695e-05	-0.5000038111734939												0.046265583989972034					1.1633502307747876e-05	-2.6439617318643024e-05	2.4453260822397356e-05				-0.5000178883532029																																																																																					
2011	3				0.1262798818731783									-0.00010790698355334799		-0.03588176559300716	-0.00015785474528847755			0.020237259700717367																				0.05333562206312309																									-4.168102748974427e-05			-0.1389008714311022								-8.93779448171492e-05				8.26757185869458e-06		0.06309854939922757		-6.473008690958772e-05									-7.939648354031048e-05			-0.07381733755957887												2.7167611491725215e-06												0.24121747660732223	-1.1504157059341947e-05	-0.1447094400900164	0.07371188399789147	0.3160039256139229																																																																																
2011	6													-0.012576450681256094			0.001963859712091998			1.315555410196106e-07	-5.145811007252511e-08																			0.025412223089630138																																				-1.1369615021069784e-08	-0.005685553661562755	-4.164257474922497e-07				0.03287101808196858														-0.11597110853313532	6.324960004463352e-07		3.4449981280788976e-07									-9.491416129415247e-08												0.3518627003539281	-7.49520265305821e-08		0.044041679805810495		-0.08611838604092423	-0.020461478433349802	0.0388706225920331	0.2457896102433148																																																																												
2011	9																			-1.3046034145269026e-08						0.059046302454111896	-0.03728610023752193														1.0337002652297324e-07																							-0.0658840960549961			-0.015964152141039772													0.01565319190990104		0.046930509766214254	-4.150066624933656e-07	-0.048455616708277305	-1.0668811968071275e-07										0.011403717463897825													5.2113440430487614e-08						-0.035646401393122015			0.02084102745426958						0.07330783323074415	3.8801754888152397e-07				0.40456367524270526	0.12579366148912638	-0.05430387914983128																																																																										
2011	12													-0.1091065571869928		-0.13782311720869383	0.1255554975450069			0.0071416297698105												9.929760936117435e-06								0.4828545354651338	0.052183704501795714									0.5000123590976688								0.5000073289200029						2.1509430252553865e-06													-0.06260168358492242	0.1424149810250639		2.6259470908408975e-06													-0.08451353188070929															0.031781511504043077	-0.2846325946580968					-1.0062607407888878e-05				1.576449637677064e-05													-0.49998833587111124	-0.16331635758215216																																																																								
2012	3									-0.07537030938092737	0.0471241244205805	0.05275478558584357								0.040342389696685306																					0.10419600959081865												3.390483949624299e-05												-1.1884314324570658e-05		0.05501875435067979						-0.00011326537187414206					0.10827253162937384						-3.869194845916966e-05	-0.00016254175686636417										-6.10117807285054e-05													0.10392386123102886					0.00013566065180560074	0.049080843464388145		-0.35498548483785025								0.3700756458590052				1.871114197316294e-05					-0.00011335232964025599																																																																							
2012	6											-1.1892832468523776e-07					-0.03283189818012585			-2.0111917224771516e-07																					-3.234498610822351e-07																								5.592163631908456e-07											-0.06932202782307333	-0.09774202980852872	0.15284088995439424						-3.323961866507036e-08	1.047433821829697e-06																-0.2129611208212392							0.09740252772336394				0.13360079210974635		-2.454138612931516e-07						-1.6933316723639373e-06	0.49999792783725305					-0.05164215739076087								-0.3866505099772239	0.49999766930295764	-0.032687301139458266																																																																				
