year	month	ABC	CCU	DAR	DECK	EPC	JBSS	KO	LEXR	LTRE	MED	MGPI	MIDD	MTEX	MVL	PPC	REV	SUP	SWY	TEN	USNA	ANDE	CHE	F	JAH	NATR	NLS	SBUX	SEB	SPTN	STKL	TAP	TIVO	TOM	VC	CL	MNST	MTH	PTRY	TPX	TRW	TSCO	BID	CRI	ELY	EXPE	FDP	KCP	NAFC	RDEN	SNMX	DPZ	JNJ	OATS	RAI	SXT	WBD	HLF	JAKK	MCK	SKX	VGR	CAA	MOD	NTRI	PBH	CTB	LEA	THS	GT	ICON	TUP	ARDNA	CQB	IMKTA	SEED	ADY	CROX	GRMN	JSDA	WWW	AMZN	BG	BZH	COKE	PAS	RCII	SAM	CENTA	TBL	TR	BARE	FACE	HBI	SUSS	WINN	HOG	IBA	WRC	BGS	ALCO	G	KTII	OME	WBC	ETP	ADM	DAN	HOGS	PNRA	SMG	BC	ATVI	AXL	STMP	DL	FLO	SENEA	CHBT	BRFS	CZZ	GM	PRGO	SVM	CSKI	DOLE	FOSL	LO	DPS	JNY	FARM	MDC	CLX	PRMW	SPB	TTWO	IPAR	SODA	TSLA	WFM	INGR	URI	BTH	CHEF	EA	ZNGA	RNDY	HSH	CG	PEP	RGS	SYY	LFVN	NGVC	WWAV	BDBD	LKQ	PF	CSG	COTY	ENZY	POST	SFM	VFC	ESI	CPG	FGL	MJN	ABEV	GPRO	SC	WES	KATE	NHTC	DPLO	PFGC	FRPT	SFS	VSTO	BETR	BLD	ENR	KHC	NOMD	UAA	RRR	TPB	USFD	ELF	ADNT	TWNK	NBEV	WOW	CELH	ROKU	APTV	DLPH	CRON	HFFG	VNE	WMK	CPRI	EL	PM
2010	3										0.037785220783878616	0.0076527189908824535				-0.055488161624208186	0.0481816781927883		-9.447036908442993e-06	0.0022495300104694903																					0.012797308759753717																							-2.5323108434527577e-05				-0.14462559838916633										-2.4950506058963e-07		-5.0299319781683725e-05			-3.5929817366528696e-05	-1.8828954933648625e-05	-1.861431193781294e-05		-3.4430256761786956e-05								-5.678438655273343e-05													0.09183518967311695					-4.6502220339109374e-05	-5.9070709886344e-06	-4.082799333804621e-05																																																																																									
2010	6											2.386971648230475e-06					-9.146417753619732e-08			-8.4250005818466e-08	0.026721931459440542						-0.10071236287764232			0.010131508365757678		0.11678368468528816									-3.4827915612002536e-07									-0.38619118802711194														-0.07165847646336032				-0.33287476174720243									0.036062761288155845			0.013701130160536392				-0.030657063555064996					0.037118432061076026																	0.24593934431848713		0.10274854217860419						-0.01726107470768734		0.3501480400743146	7.289169562679475e-07																																																																																							
2010	9											0.024898988023136066					0.0590118217060008			0.012510215309402823												1.4736601265719697e-05									0.04007510993762892																							0.10197754374351067													-2.0822912447430836e-05	0.031378489636747324		2.8730985462446883e-05				4.5322333741916824e-06											-9.236351794975205e-06	-0.16526316834395732					-0.1093795504835355						2.7240784905889785e-05	0.048369536743462886				0.013836517698323276		1.3632986313939797e-05	3.480190926180498e-05	-0.05748584083184167		-2.41022954190931e-05																																																																																						
2010	12										0.03702621976019588	0.017802611270694824				-0.023367429070895517	0.031018014230839806			0.00926603033105565																					0.03722247965469667																	0.12069585930784191						0.06248251918687841				-0.07456432404615092										0.03351027243181485		-8.84066163594018e-06			-3.80622385635198e-05										-0.01042383012642913		3.7663781103094174e-05	-0.09119586318436916												0.012075602901810875					-1.535772581244948e-05	1.34175687240305e-05	-6.628902530034686e-05				-0.16150393240482372																																																																																					
2011	3				0.057246553444398274									-0.006964602637679609		-0.03623230558517754	-7.668633836990433e-06			0.014084497363527121																				0.032332733223773814																									-1.1066981901413852e-06			-0.076087653399031								0.0007161795410388491				6.606677134112045e-06		0.0192452827364258		2.7114953221511e-06									-0.025030436428221475			-0.12704945452963123												-9.724290370018683e-07												0.06812819460318821	-1.6259690181963166e-06	-0.08322436189314464	0.013494197119105546	0.14933947337282133																																																																																
2011	6													-0.038996941482193404			0.027267238288779347			7.614047306262303e-07	-0.001587449677863619																			0.07437178262433539																																				0.005019245949211288	-0.04939015590790561	-1.083007960941113e-05				0.034471316425463146														-0.315963050297026	6.312223650689725e-05		0.0001475540251174237									3.375489050786848e-06												0.3421337083133805	-0.04857554569804415		0.05559392307010558		-0.166345303475747	-0.013858474861787025	0.09571478931447414	-5.946280044946679e-05																																																																												
2011	9																			1.639819017811231e-05						0.20842487659653502	-0.13473693833980016														2.7840058648152786e-05																							-0.060955962377511275			-0.09730499081818014													0.001941964984840729		0.09178231575251528	-3.801584963947544e-05	-0.12390349228170765	-0.00012648891108330446										1.2419290148830615e-05													2.0378600530702694e-05						-0.11822906071860016			-9.415931818958165e-05						0.12453776475687792	-0.10986082378935551				0.3465670101132398	0.0639398774315821	-0.19197558543021612																																																																										
2011	12													-0.03441347037631296		-0.05429902999756366	0.030494672757732544			0.004951872933459442												-3.262224460630472e-06								0.11832505944067588	0.019754128580299714									0.21435369439483032								0.1449593620058089						1.1977690868155846e-06													-0.019738564864263976	0.042588643292919205		8.463681756006624e-07													-0.041237882539235375															0.01464843965889124	-0.08971519206443702					8.416379289098009e-07				-2.304890969764367e-06													-0.23799198088186813	-0.11267732456876095																																																																								
2012	3									-0.1623034241485519	0.04643189269065451	0.06263505146786134								0.04858138612354172																					0.11845387789070022												-0.06161055815912244												-0.023370271927511576		0.05875801971974706						-0.00010620946089924756					0.11288030813770332						-9.238632380853405e-07	1.18940051672004e-05										-7.355199680155631e-05													0.11711065104390823					-0.19625565021613722	0.0678270980203306		-0.415369279749907								0.32309861372905735				-3.1637687380495204e-05					-0.09675236150494418																																																																							
2012	6											-9.510534360453444e-06					-0.004855132901069158			-3.817286996312693e-06																					-1.3857753077374311e-05																								9.69234357486429e-07											-0.018968487866104083	-0.033704787232977665	0.022824348227290816						-1.1196285285757583e-05	-2.2118923554747426e-05																-0.13485505967944303							0.014111444112346789				0.005558760447484902		-5.944465684506794e-07						2.84108307235654e-05	0.17334371464128484					-0.038786212127502696								-0.14101973432798426	0.21974203091255043	-0.06335248932696748																																																																				
2012	9																6.867935801993386e-07									0.10424988771960374																				0.07980386915894687						0.18096102550623974													-9.902985513426505e-07											-0.016103331807599108		0.025271397893151068						0.008943454687628652											0.18519948363185398													0.012247630615486171				0.052226373806459135								3.532812266439437e-06				-0.028817549567609044		-0.07504258221416943					-0.07391785898571891			-0.4502096470302216		-0.09524121251402179	0.09042506495238754	-3.171234180924172e-07	2.7449622283399715e-07																																																																	
2012	12																-4.098976086759768e-06			1.7527563793605942e-06						0.05531862726979896							-0.003527397335482844													0.049475842177651455			-0.04958367924498529																-0.028305204628951357											-0.021511923876770683	6.117563517144406e-06	0.012708634160824853						0.031651995946747856											0.05465015630662788													0.01235985126992091																		0.053923795567867146					-0.09346148963928413			-0.18340978899166732		-0.022430924727273472	0.0580256429690305		-0.1289437723255221	0.20305807833317266																																																																
2013	3									-0.0048830846299489725		0.021884019455057396					0.02151256888480793			0.016249176590974156																					0.05630006153469224												3.515854234092302e-05														0.062409964092961526		2.6599861530594827e-05									0.04007749888420886						0.08678857982673437											6.388553256252513e-05													0.036468769323214564					-0.17032066642399196	0.0707785334440386	6.71134389069439e-05		2.7964262859651348e-05			4.01338641307289e-05														-0.3380073128056501							6.644017963213509e-05	0.10038148763550114																																																														
2013	6									-0.18728558001090737	0.07854946864109458						1.4691298012158933e-05			0.04951601365084906	0.09379906474646237														6.788929954412744e-05		-0.13419714567006147			0.11237056417326581	0.17658327813323665										1.2544049306110254e-05													4.660902153388134e-05				2.753144746934321e-05																																																						1.244967490553896e-05												-0.45817415341859996					0.1743936108215026	0.15836300669330627			4.136669248475101e-06	-5.634369095656051e-06	1.4561569935964049e-06	-0.06412626956025234																																																										
